ID,Time,Title,Category,Salary,Company,Company Reviews,Company Rating(out of 5),Url,Location,Description,min_experience,max_experience,short_type
721,30+ days ago,Data Analyst / Project Manager (Retail Banking),Data Analyst,,Zebra Strategic Outsource Solutions,,,https://www.indeed.hk//rc/clk?jk=40f929fef0bd88f6&fccid=9bc9809a7f9abec3&vjs=3,Kowloon,"KowloonContractLead the project to meet the target timeframe, milestones and monitor the overall completion of individual processes to ensure that these processes are performed as intended and in a timely manner
Work closely with partners across business units to understand project requirements, timely delivery and partner communication across the various levels in the organization. It is extremely critical to develop and maintain smooth relationship with partners across business units

Plan and prioritization of requests with business users and manage internal resources

Create ideas and suggestions for continuous improvement. Contribution to organizational initiatives

Interact and present results to business and management

Develop cross-site relationship to enhance leverage of ideas. Set and manage partner expectations

Requirements
Bachelor degree or above in Computer Science, Data Science, Economics, Business Administration with expertise in Business Intelligence and data manipulation/extraction from huge / complex databases using SAS / SQL are required (SAS hands- on experience is a must.) Master's degree is a plus
3-5 years of banking industry experience with sound knowledge on all consumer banking products
Proven track record of developing & maintaining strong internal and external relationships
Strong analytical aptitude, attention to detail and logical reasoning ability
Strong presentation and communication skills
Strong process/project management skills
Ability to be productive with minimal supervision and results oriented",5,5,DA
722,30+ days ago,Data Analyst – Investment Bank,Data Analyst,,Global Executive Consultants,,,https://www.indeed.hk//rc/clk?jk=247655276f1ed061&fccid=76e131b9803c9734&vjs=3,Hong Kong,"Hong KongOur client, an Investment Bank, is looking for high-caliber person to fill the position
Job Duties
Assist the Risk Management Division in data analytics
Perform project management including presentation to management
Perform data profiling, analysis and reconciliation
Assist in day - to - day Risk Management activities
Job Requirements
Degree in Business/ Statistics/ Computer Sciences or relevant disciplines
Minimum 1 year of related working experience
Experience in data mining, database management
Proficient in MS Excel and Access is a must
Hands on in VBA tools and script
Good presentation and communication skills with strong capability in verbal and written English and Chinese
Job No.: 22794 Date: 17/05/2019 Job Category: Information Technology / Telecom Salary: $Neg. Qualification: Degree Apply Email: hongkong@globexec.com",1,1,DA
723,30+ days ago,Multiple Openings from Banks* Data Analyst / IT Business Analyst - Excel VBA SAS UNIX 15-55k,Data Analyst,,Page Personnel,190,2.6,https://www.indeed.hk//rc/clk?jk=3fec703576c7643d&fccid=e5ea1ff710ce39ca&vjs=3,Hong Kong,"Hong KongTemporaryData & Information Analyst / Statistics

Excel / VBA / SAS / UNIX

About Our Client
My client is the Largest Bank Globally

*** As there are multiple openings available, the below JD is for reference only.

*** Our multiple openings spreads across different teams - relavant but not limited to: Data Analyst / Statistics / Information Management teams

*** Interested parties kindly send your resume to us by applying this job ad, short-listed applicants will be contacted shortly.

Work location - Olympics
Contract Type - Renewable Agency Contract (Contract under Michael Page)
Annual Leave - 15 days
Sick Leave - Employment Ordinance
Medical - N/A
Job Description
Develop the process to support business initiatives for monitoring the business performance
Collaborate with various departments / markets to design and develop management reports, dashboards and / or business intelligence solutions to fulfill the business need under considerable deadline pressure
Develop and test complex programs & process according to business specifications and in alignment with Group policies/standards.
Support to transform the business requirements into programs and processes to deliver high quality information deliverables (example: analysis, management information reporting, data extracts, campaign files etc.) in both a regularly scheduled and ad hoc fashion
Make recommendations and drive towards consensus regarding the appropriate data sources, business rules, and end product content/format and delivery mechanisms to meet requirements
Contribute to optimize and streamline the information delivery process

The Successful Applicant
Bachelor's degree, or equivalent, in Mathematics, Statistics, Information Management, Computer Science or related field.Proven experience in data analysis or database management experience or equivalent.Solid experience on SAS programming skills.Excel VBA programming skills and UNIX experience an advantage.Strong communication, analytical, organizational, interpersonal skills are required, including the capacity to articulate the case for information management in the language of business.Ability to develop cohesive working relationships with internal or external stakeholders.

What's on Offer
Our Benefits:
Provide on job and ongoing training
Professional and personal development
Good career path for promotion
Contact:
Natalie Lau
Quote job ref: 4063784
+852 3602 2400
Function:
IT
Specialisation:
IT Data Analysis
Industry:
Financial Services
Location:
Hong Kong
Contract Type:
Temporary
Salary:
HK$15,000 - HK$55,000
Consultant name:
Natalie Lau
Consultant contact:
+852 3602 2400
Job Reference:
4063784",,,DA
724,30+ days ago,Data Analyst,Data Analyst,,Nascent Company Ltd.,,,https://www.indeed.hk//company/NASCENT-COMPANY-LIMITED/jobs/Data-Analyst-45df1a6cba367d9e?fccid=25dc0d742dd87083&vjs=3,Hong Kong,"Hong KongPermanentRoles:Interpret data, analyze results using techniques and provide reportsDevelop and implement databases, data collection systems, data analytics and other strategies that optimize efficiency and qualityAcquire data from various data sources and maintain databases/data systemsReviewing data and program codes to locate and correct data issuesWork with management to prioritize business and information needsRequirements:2 years+ of working experience on database (MySQL)Technical knowledge regarding data models, database design development, data mining and segmentation techniquesStrong knowledge of and experience with databases MySQLAdept at queries, report writing and presenting findingsHaving background knowledge on financial market would be an advantageJob Types: Full-time, Permanent",2,2,DA
725,,Assistant Data Manager/ Data Analyst - Banking 12 months Contract Renewable,Data Analyst,,Manpower Services (Hong Kong) Limited,,,https://www.indeed.hk//rc/clk?jk=a9e895f80e17fb3b&fccid=9229bd4dcc302ec4&vjs=3,Hong Kong,"Hong KongTemporary, ContractPrincipal responsibilities
Support the execution of Chief Data Officer agenda and Group Data Management Office
Drive the move towards the long-term goal of strategic and tactical information initiatives covering Data Governance, Metadata Management, Data Quality, Data Protection and Data Infrastructure
Ensure that local business owners are identified to be accountable for data quality, reference data standards, metadata management, data governance mechanisms exists to highlight potential data problem areas
Implement approved proposed data management processes to ensure they align to the Group Data Strategy and Standards.
Assisting analysts in other departments regarding the usage of available information sources to satisfy their information requirements
Identifying and disseminating best practices
Work with a variety of information, data management and business professionals at various levels of expertise in establishing collaboration, content management, data consolidation, information delivery and data re-use strategies

Qualifications / Requirements
Bachelor's degree, or equivalent, in Computer Science, Mathematics, Statistics, or related field.
Proven 3-5 years’ experience on project management / business analysis or equivalent.
Proficiency in communications, analytical, organizational, project management and planning skills.
Preferred experience on Cloud, SAS and UNIX, pertinent analytical software packages or equivalent.
Preferred experience in handling large databases and strong SQL and SAS query writing and programming skills.
Less expereince will be considered as Data Analyst",5,5,DA
726,2 days ago,"Data Analyst (Segment Analytics, Consumer Banking)",Data Analyst,,Chandler Macleod,100,3.7,https://www.indeed.hk//rc/clk?jk=bdd6adabf1d3800e&fccid=2cc803336f95091d&vjs=3,Hong Kong,"Hong KongDegree holder in Math, Statistics, CS, IS, etc.
Hands-on in SAS and Qlikview (dashboard building)
1-3 years of related experience
Leading multinational banking corporation
Competitive remunieration package
Good career prospect
Responsibilities:

Build and maintain Qlikview dashboards to facilitate data-driven decision making by Consumer Banking leadership team
Support the team lead of Consumer Banking Segment Analytics to generate business performance MIS and related analysis to drive acquisition, relationship deepening and retention of Affluent customers
Develop and maintain dynamic customer and segment datamarts
Streamline and automate internal process to ensure efficient and effective data generation and analytics processes are in place
Requirements:

Bachelor Degree holder in mathematics, statistics, business analytics, information system, computer science, or other related discipline
1-3 years of data analytics experience in banking/finance/insurance industry
Experience in Consumer Banking or Wealth Management business is highly preferred
Strong programming knowledge in SAS
Solid experience in data visualization and dashboard building by using Qlikview
Experience or knowledge in other statistical modeling software such as R and Python will be an advantage
Strong ability to analyze large volume of data and create relevant reports with interactive data visualization
Conversant with PC application including MS Excel, Powerpoint and Word
Interested parties please click ""Apply Now"" or contact Ernest Hung on +852 2833 4198 for more information.

Interested parties could also send your full resume with expected salary to ernest.hung @ chandlermacleod.com . Successful applicants will be contacted within 2 working days.

15158_156394911856015",3,3,DA
727,30+ days ago,Data Analyst - Innovative FinTech,Data Analyst,,Hays,719,3.6,https://www.indeed.hk//rc/clk?jk=65bcc3a37aba8ba2&fccid=31670bef3ae6497b&vjs=3,Hong Kong,"Hong KongYour new company is one of Hong Kong's leading FinTech companies with the most innovative products and technologies.


Your new role

In your new role you will be responsible for:

Designing the data warehouse and all related ETL data functions.
Testing for the design to ensure the system runs smoothly.
Data modelling - read, analyze and digest what the business wants to accomplish with the data.
Build new integration with portfolio data providers.

What you'll need to succeed

A degree in Computer Science/IT/Stats or similar education
Strong with SQL and excel
Strong analytical skills
Fresh grads will be considered

What you'll get in return

For your hard work, commitment and expertise you will be rewarded with an excellent opportunity with a leading Fintech company. The Fintech, one of the fastest growing worldwide will truly value career development.


What you need to do now

If you’re interested in this role, click “apply now” or for more information and a confidential discussion this role or to find out more about IT and Digital opportunities contact Wesley Au-Yeung at +852 2230 7436 or Wesley.auyeung@hays.com.hk #1141651",0,,DA
728,30+ days ago,Data Analyst,Data Analyst,,A.S. Watson Group,47,3.4,https://www.indeed.hk//rc/clk?jk=468b0a077079b24d&fccid=1f593f8528f0c819&vjs=3,"Fo Tan, New Territories","Fo Tan, New TerritoriesContract, PermanentConsult with business units and data scientists on the team to analyze and insights discovery. Work with huge volume of data and complex analysis into quantitatively proficient and actionable insights
Work with data scientists to apply advanced statistic and analytics to insights discovery
Participate in data visualization of data analytics with reporting analysts
Develop consistent, efficient and repeatable data processing required to support data analysis across business units
Validation of data science related products. Working with large data sets via SQL, Python or R.
May participate in testing for data science projects
Other duties as assigned
Bachelor degree in Computer Science, MIS, Statistics, Business or related discipline
Strong background and passion in data analysis and insights discovery. Past analysis portfolio is highly desired
Extensive knowledge and skills in SQL and dealing with large data sets. Python and R experience is highly preferred
Deep understanding of analytics, including data management, business intelligence and insights discovery
Able to prioritize and co-ordinate work streams/projects to drive delivery of overall programme
Excellent verbal and written communication skills with the ability to work with diverse groups of people",,,DA
729,30+ days ago,Senior Data Analyst – Strategy & Forward Deployment,Data Analyst,,Prudential,,3.9,https://www.indeed.hk//rc/clk?jk=539c6a699041a550&fccid=4144c0c6235e4037&vjs=3,Hong Kong,"Hong KongAt Prudential, we understand that success comes from the talent and commitment of our people. Together, we have a shared vision in securing the future of our customers and our communities. We strive to build a business that you can shape, an inclusive workplace where everyone’s ideas are valued and a culture where we can thrive together. Our people stay connected and tuned in to what’s happening around us, keeping us ahead of the curve. While focused on the long-term, we look to the future to bring growth, development and benefit to everyone whose lives we touch.
To lead scalable projects for regulatory and compliance requirements change, operations service expansion, work efficiency/accuracy improvement related projects. Also to identify opportunities/issues for Life Administration and recommend actions to Senior Management.
Job Responsibilities
Perform in-depth quantitative analysis and propose actionable insights to business departments
Prepare and present articulate reports based on vast amount of data from various sources (e.g. data warehouse)
Contribute to the strategy development by provide visual analyses and dashboards to help management & business users analyze data and generate value-adding insights
Prepare and analyze reports which summarize and forecast business activity based on past, present and expected operations
Assist in business planning, campaign performance and KPIs tracking by developing advanced reports, analytics and dashboards
Explore new technologies and create a collaborative learning and knowledge sharing environment for the team
Job Requirements
University degree in Statistics, Quantitative Analysis, Computer Science, Data Science or a related Discipline with minimum 3-5 years' relevant experience in statistical data analysis
Hands-on experience of relational database, to be able to understand, to maintain and compose sophisticated database query scripts
Capability in handling voluminous data and writing efficient queries, and experience in various data transformation techniques to aggregate transactional data
Strong business acumen and sensitive to consumer market trends
To be well-versed with SQL, SAS, Qlik and other MS Office applications including Powerpoint & Excel
Ability to take full ownership for deliverables
Highly motivated by new challenges
Flexible enough to react to changes in decisions and adjust accordingly
Ability to work under tight deadlines, demanding and fast changing situations is critical
Enjoy continuous monitoring on business trends/standards and be able to research, recommend and apply new ideas as the emerge
Knowledge on major social medial platforms and latest trend a definite asset",5,5,DA
730,15 days ago,"Data Analyst (MNC, Global exposure)",Data Analyst,,MACLEANS CONSULTING INTERNATIONAL LIMITED,,,https://www.indeed.hk//rc/clk?jk=b4876cc1a5cbb985&fccid=3c9ba4bc2c21ae52&vjs=3,Hong Kong,"Hong KongHong Kong Maclean's is a privately held recruitment firm with its headquarter based in Hong Kong. We have a wealth of experience but more importantly the company shares the common belief that the relationship with candidates and clients always come first. With the firm's precise marketing position as well as specialization, Maclean's is able to become a truly advisory based recruitment consulting firm in the market.

About our client
An European Brand of electronics product who is now seeking a Data Analyst to provide supports to the Global Operations & Sourcing function and managing the Sourcing, Project Management, Quality and Supply Chain for a broad scope of products.

2-4 years' experience in Data Analysis

Gain Global exposure in HQ located in Hong Kong
Familiar with Excel, BI, and PowerPoint

Responsibilities & Duties
Collect, consolidate and update data in Item Master, ODMS system (Operation Data Management System) support and migration and other related systems as required
Develop/improve and deliver all related training materials of ODMS to users
Continuously identify opportunities of Business Controlling
Generate periodic or ad-hoc analysis/reports
Provide support on creation of the monthly PL sourcing reports
Prepare and develop Business Trackers, business/operational reports involving data analysis, Excel and internal databases
Ensure data integrity, quality and adherence to deadlines including contracts and payment terms
Actively support to the Sourcing team meetings and supplier meetings (e.g. quarterly supplier business reviews)
Create and maintain an infrastructure that allows easy sharing of information on sourced products catelogs, supplier profiles, cost models, Raw Materials, Global economical movements (esp on ASEAN country members) etc.

Qualification & Experience
3 years of experience in related field – Data Analysis
Degree or Diploma in Business or Statistics or Mathematics or Information technology
Experience in managing multiple projects and support functions
Sensitive to figures and strong attention to details
Strong experience in Excel, BI, and PowerPoint.
Access and other IT Tools preferred, knowledge of Cognos or VBA Script Development is a plus
High acumen in analyzing and managing complex and large amounts of information

Effective business communicator who can work independently
Willing to travel as required by business needs
Proficiency in both spoken and written English and Chinese

To apply, please click on the Apply Now button below or contact Nick Chow at (852) 3502-2637 for a confidential discussion. Alternatively, email your resume ( with your notice period, current and expected salary ) to nick.chow@macleansgroup.com
Your interest will be treated in strict confidence and only shortlisted candidates will be notified.",3,4,DA
731,30+ days ago,"Multiple Openings from Banks* Data Analyst / Statistics Management 20-35k, renewable contract",Data Analyst,,Page Personnel,190,2.6,https://www.indeed.hk//rc/clk?jk=c2753bebb8d23689&fccid=e5ea1ff710ce39ca&vjs=3,Hong Kong,"Hong KongTemporaryData & Information Analyst / Statistics

Excel / VBA / SAS / SQL / R

About Our Client
My client is the Largest Bank Globally

*** As there are multiple openings available, the below JD is for reference only.

*** Our multiple openings spreads across different teams - relavant but not limited to: Data Analyst / Statistics / Information Management teams

*** Interested parties kindly send your resume to us by applying this job ad, short-listed applicants will be contacted shortly.

Work location - Olympics
Contract Type - Renewable Agency Contract (Contract under Michael Page)
Annual Leave - 15 days
Sick Leave - Employment Ordinance
Medical - N/A
Job Description
Support team managers to develop and deploy data programs, management reports, dashboards and business intelligence solutions to fulfill the business need under considerable deadline pressure.Develops and supports a wide variety of adhoc/production information deliverables and analysis.Interfaces with Business Performance and Customer Experience departments to translate business requirements and strategy into information processes.Performs other related D&IM duties as assigned.

The Successful Applicant
Bachelor's degree, or equivalent, in Mathematics, Statistics, Information Management, Computer Science or related field.Proven experience in data analysis or database management experience or equivalent.Solid experience on SAS programming skills.Excel VBA / SQL / R experience an advantage.Strong communication, analytical, organizational, interpersonal skills are required, including the capacity to articulate the case for information management in the language of business.Ability to develop cohesive working relationships with internal or external stakeholders.

What's on Offer
Our Benefits:
Provide on job and ongoing training
Professional and personal development
Good career path for promotion
Contact:
Natalie Lau
Quote job ref: 4077340
+852 3602 2400
Function:
IT
Specialisation:
IT Data Analysis
Industry:
Financial Services
Location:
Hong Kong
Contract Type:
Temporary
Salary:
HK$15,000 - HK$35,000
Consultant name:
Natalie Lau
Consultant contact:
+852 3602 2400
Job Reference:
4077340",,,DA
732,4 days ago,"Business Analyst (IT Projects / Data Analyst) - Media, e-Commerce, Telecom",Data Analyst,,Xponential Personnel Limited,,,https://www.indeed.hk//rc/clk?jk=d0a5937b22c02dbf&fccid=be0d3538ee61597d&vjs=3,Hong Kong,"Hong KongPermanentXP Personnel is a Digital Recruitment Agency that provides top quality service to both our clients and candidates equally. We work with a wide variety of companies which include Fortune 500 companies, Start-ups, E-Commerce brands, FMCG, Blue Chip Organizations, Digital Agencies and Technology specialists.

Our team of recruitment consultants have over 18 years of industry knowledge collectively and together we cover a range of disciplines including Data Analytics, Digital Marketing, E-commerce, UX/UI, IT, Technology and Creative. Our company specialize in certain digital areas that covers a scope that deals with the whole industry, and thus being on course to provide the best possible service. Because of this, we have created a culture that helps us operate in an effective way, delivering results for our clients and candidates consistently.

To learn more about our recruitment services, please visit our company website:
www.xp-personnel.com

Business Analyst (Data)

The Job:
Design and develop metrics, reports, analyses and dashboards to drive key business decisions to improve performance and reduce costs

Solve business problems through the use of data, analysis and statistical modelling

Proactively perform data exploration on user behavior to discover opportunities

Design experiments and interpret the results to draw detailed and actionable conclusions

Work closely with data team on data collection and data quality

Collaborate across teams to automate operational analytical processes

Communicate deep insights derived from data and modelling for immediate business impact

The Person:
Minimum 3 years of experience in a quantitative analysis role with emphasis on statistics. Degree in a quantitative field is a plus

Strong foundation in data query/manipulation using SQL and data visualisation using tools like Tableau.

Experience using R, Python or other tools for statistical analysis and automation

Experience with statistical modeling, analyzing large data sets and experimentation setting

Business Analyst (IT Projects)

The Job:
Work closely with different business departments to understand, defineand gather project requirement from different stakeholders to define scope of work for efficient delivery of projects

Responsible for project management to develop websites, mobile applications and solutions that meet the business goals.

Assist to investigate problems and handle queries from internal customer that may arise from time to time during different stages of the project

Design test plans and test cases by following user requirements and guidelines

Undertake test preparation and conduct high quality testing in a timely manner

Ensure that all projects are delivered on-time, within scope

The Person:
University degree on Electronic Engineering, Computer Engineering, Computer Science, Information Engineering or related disciplines

With minimum 3 years relevant working experience

Excellent negotiation skills with ability to communicate effectively with technical disciplines both internally and externally

Experience in Project Management and document preparation

Strong analytical and problem-solving skills and with the ability to develop innovative and practical solutions to technical problems

Responsible, initiative, hardworking with pleasant personality and able to work under pressure

Proficient in spoken and written English and Chinese

Interested parties please contact Eddie at 3481-7283 or send resume toresume(at)xp-personnel.com

Full-time,Permanent",3,8,DA
733,30+ days ago,Data Analyst (BF-WS-23944),Data Analyst,,aimHigher,,,https://www.indeed.hk//rc/clk?jk=f3e28ad9bd2610e5&fccid=1befa20071545550&vjs=3,Hong Kong,"Hong KongContractCompetitive salary
Wide exposure
Prime location and working environment
Company Description
Our client, a well-known retail corporate bank is looking for an Data Analyst (1 year contract).
Responsibilities
Perform data analysis, design and define data structure to meet requirements for corporate business
Support existing and future data cleansing initiative and ensure accurate and high quality data cleansing process
Assist in data migration projects and support the project team and vendor for technology development and testing
Analyse potential risk in projects and provide advise, solution and support to counter the potential risk and ensure stabilization of the system operations
Provide management on data and keep tract on data quality related regulatory requirements
Requirements
University degree in Computer Science, Information Systems or any related disciplines
Minimum 10 years relevant experience in data related analysis, design and data modelling or application development projects in banking industry
Good understanding and experiences in data quality improvement, data management processes and business intelligence application
Experienced with vendor management for business support
Sound knowledge in technology trades, business direction, general compliance, governance and risk management
Excellent time management, prioritization, organizational and communication skills
Proficiency in English and Chinese (Cantonese and Mandarin)
Interested parties please send your updated resume in WORD format with current and expected salaries (quoting Employer Ref:) to banking@aimHigher.com
23944",0,1,DA
734,30+ days ago,Lead Data PM/ Data Analyst/ Data Architect- Global Leading Bank,Data Analyst,,Ambition,,,https://www.indeed.hk//rc/clk?jk=4c6c3759afd5467b&fccid=c9cd3dc1c74035d6&vjs=3,Hong Kong,"Hong KongPermanentContract Type: Permanent

Specialisation: Technology

Salary: HK$780000.00 - HK$1200000.00 per annum

REF: BBBH231567_1559648020

Ruby Chuk
Lead Data PM/ Data Analyst/ Data Architect- Global Leading Bank
Location: Hong Kong, Hong Kong

Contract Type: Permanent

Specialisation: Technology

Salary: HK$780000.00 - HK$1200000.00 per annum

REF: BBBH231567_1559648020

Ruby Chuk
Email Ruby View Ruby's other roles
Our client is one of the largest global leading banks in Hong Kong. They have acquired new business funding and massively expanding their Data and Analytics team now. Looking for talented Project Manager Lead, Lead Data & Product Analyst, and Lead Data Architect.
Key Responsibilities:
A) Project Manager Lead:
Manage the overall project portfolio across APAC region
Lead a team of PM and PMOs on project governance, risk and control, timeline, costs etc.
B) Lead Data & Product Analyst:
Responsible for all data and analytics products and data analysis across the APAC region
Analyse and provide advisory to users on data and analytics products and data usage
Be involved in the design and delivery of the applications
C) Lead Data Architect:
Design the architecture of Data and Analytics solutions across the APAC region
Ensure architectural alignment with global standards
Coordinate regional and global resources including data architects, data engineers
Manage stakeholders across the regional business
Key Requirements:
A) Project Manager Lead:
Sound track record in managing and delivering Big Data projects in large enterprise
Strong communication and stakeholder management skills in English, Cantonese and Mandarin
B) Lead Data & Product Analyst:
Strong banking business and product knowledge
Proven experience in Data and Analytics solutions and related new technologies
Strong communication and stakeholder management skills in English, Cantonese and Mandarin
C) Lead Data Architect:
Sound track record in data and analytics solution design in large enterprise
Strong experience or understanding of data and analytics technologies including Data Warehouse, Data Lake, Big Data, Visualisation tools, Machine Learning, AI, NLP
Knowledge on Google and Ali Cloud platforms is a plus
If this opportunity sounds like your next career move, please send your resume in Word format to Ruby.Chuk@ambition.com.hk and put ""Data Analytics PM Lead / Lead Data & Product Analyst / Lead Data Architect"" in the subject header.",,,DA
735,30+ days ago,"Multiple Openings from Banks* Data Analyst / Statistics Management 20-35k, renewable contract",Data Analyst,,Michael Page,244,3.4,https://www.indeed.hk//rc/clk?jk=4a291dac26889505&fccid=77087bd1709a8148&vjs=3,Hong Kong,"Hong KongTemporaryFunction:IT
Specialisation:IT Data Analysis
Industry:Financial Services
Location:Hong Kong
Contract Type:Temporary
Salary: HK$15,000 - HK$35,000
Consultant name:Natalie Lau
Consultant phone:+852 3602 2400
Job Reference:4077340",,,DA
736,4 days ago,Data Analyst,Data Analyst,,Hutchison Telecommunications (Hong Kong) Limited,,,https://www.indeed.hk//rc/clk?jk=18fc60fa10d30662&fccid=2f06f3ff11d4a610&vjs=3,Hong Kong,"Hong KongPermanentWe are a leading mobile operator in Hong Kong, committed to steering the dynamic development of high-speed mobile broadband service. Talented candidates are invited to join us as we prepare for a new era of full connectivity via 5G technology.

Visit our website: Three.com.hk www.hthkh.com

Responsibilities:
Assist Manager to monitor customer movement and life time value analysis

Compile segmentations and value models to support marketing program

Provide regular reports and evaluation on marketing program campaigns

Drive continuous data enhancement of campaigns and dashboards

Work with IT for standardized response data to support reporting

Maintain marketing data mart for program support on Acquisition / Retention / Upsell

Support budget for business parameters tracking

Handle ad hoc tasks as assigned

Requirements:
Degree holder in Statistic, Marketing, Business Administration or related discipline

Minimum 2 years of working experience in Business Analysis, preferably in telecom industry

Experienced in data mining and processing, analyzing large volume of data

Knowledge in SQL / Shell scripts, Oracle / informix / MySQL / MS Server, Unix/Linux OS

Good command of written and spoken English and Chinese

We offer competitive salary package and career development opportunity. Free company shuttle bus will be provided. Interested parties, please quote our reference number and apply with full resume, present and expected salary, by clicking ""APPLY NOW"".

We are an equal opportunity employer and welcome applications from all qualified candidates. Information provided will be treated in strict confidence and only be used for consideration of your application for the relevant post within the Hutchison Group. Personal data provided by job applicants will be used strictly according to our Personal Information Collection Statement, a copy of which will be available upon written request. Information of unsuccessful candidates will be destroyed within six months.

Full-time,Permanent",2,2,DA
737,30+ days ago,"Analyst, Data & Information Management",Data Analyst,,Advance Resources Personnel Consultants,,,https://www.indeed.hk//rc/clk?jk=2a8e60ab9da9f5fa&fccid=95912a7aa8332520&vjs=3,Hong Kong,"Hong KongCategory:
Business Analyst / Data Analyst
Core Responsibility:
Collaborate with various departments to design, develop and deploy business intelligence solutions to fulfill the business need under considerable deadline pressure
Provide technical insight and subject matter expertise on data management process design
Meet with Client management and other stakeholders to discuss the business requirements for the information to be delivered
Make recommendations and drive towards consensus regarding the appropriate data sources, business rules, and end product content or format and delivery mechanisms to meet requirements
Ensure team members transform the business requirements into programs and processes to deliver high quality information deliverables (example: analysis, management information reporting, data extracts, campaign files etc.) in both a regularly scheduled and ad hoc fashion
Mentor and develop team members on their programming techniques for Business Intelligence, Data mining and analytical tools in order to improve effectiveness and cost efficiency.
Requirement:
Bachelor’s degree, or equivalent, in Mathematics, Statistics, Information Management, Computer Science, Quantitative Analysis, or related field.
Proven experience in data analysis or database management experience or equivalent.
Solid experience on SAS programming skills. Excel VBA programming skills and UNIX experience an advantage.
Strong communication, analytical, organizational,
interpersonal skills are required, including the capacity to articulate the case for information management in the language of business.
Ability to develop cohesive working relationships with internal or external stakeholders.
Interested parties, please send full resume, expected salary and contact telephone number to “Advance Resources Consulting Group Ltd.” by email search@arpcl.com or fax 3011-9424.",,,DA
738,30+ days ago,Business Analyst [Data Analysis / Global Project / MNC],Data Analyst,,Six People Map,,,https://www.indeed.hk//company/Six-People-Map/jobs/Business-Analyst-8a1b8533a882db0e?fccid=ad390ca99f6faeb4&vjs=3,Hong Kong,"Hong KongPermanentAbout the companyOur client is a world’s leading testing service provider. They are now looking for candidate who is strong in database maintenance and data-analysis to provide business insight for clients from inhouse database.Job DescriptionExtract data and develop interactive reports for marketing and sales activities and performance trackingMonitor the maintenance, integrity, and security of customer databases in CRM systemPerform data cleansing, and regulate user policy and user training to ensure the data integrityDevelop customized and regular reports for Sales / Marketing department by Excel, BI Tools and related systems, provide those observations and insight from data and figuresProvide the analysis between existing data and external sources, e.g. quantitative survey, marketing automation toolsWhy you?Degree holder in Business / Statistics / Computing or any related disciplinesMinimum 4 years' experience in building intelligence, CRM and data analysisWell understanding in database/data processing conceptsKnowledge in Tableau, ERP and CRM is a mustStrong sense on business operation and marketing trendsConfident and presentable on the findings and analysisAble to be a good team player and solve problem independentlyProficient in MS Excel such as Pivot table and VlookupGood command of English, Cantonese, and Mandarin*How to Apply?*If you are looking for career changes, you may send resume to sherlockpang(AT)sixpeoplemap.com, quoting Job Ref#SPA-7843 You may also contact us at +852 2807 3113. Action now and share with you friends for referral rewards.工作類型: 全職, 長期",4,4,DA
739,4 days ago,Data Analyst,Data Analyst,,Nascent Company Limited,,,https://www.indeed.hk//rc/clk?jk=4e517b7959b718ad&fccid=25dc0d742dd87083&vjs=3,Hong Kong,"Hong KongNascent is a premium recruitment expert and staffing provider for international companies in Hong Kong and across Asia.

Encompassing local and international placements, contract and temporary staffing, outplacement as well as payroll services across all industry sectors, Nascent’s highly personalised service ensures that its clients find the right talent to meet their human resource needs.

Duties:
Interpret data, analyze results using techniques and provide reports

Develop and implement databases, data collection systems, data analytics and other strategies that optimize efficiency and quality

Acquire data from various data sources and maintain databases/data systems

Reviewing data and program codes to locate and correct data issues

Work with management to prioritize business and information needs

Requirements:
2-3 years of working experience on database (MySQL)

Technical knowledge regarding data models, database design development, data mining and segmentation techniques

Strong knowledge of and experience with databases MySQL

Adept at queries, report writing and presenting findings

Having background knowledge on financial market would be an advantage",3,3,DA
740,30+ days ago,Analyst - BI / Data Analysis,Data Analyst,,PEOBASE Limited,,,https://www.indeed.hk//rc/clk?jk=98989c93a28b5bdf&fccid=4e3be47709d0a343&vjs=3,Hong Kong,"Hong KongOne of the global logistics corporations that is one the leaders in the market, is now seeking a Analyst to join their professional team in Hong Kong.

Responsibilities

Design, development and maintenance of Data Management Solution for Analytics, including Data Warehouse
Work out the conceptual model, data model and perform information gathering, and data aggregation as to support the analysis work
Evaluate and recommend the technical solution, including software tool and technology; design and develop architecture and application as to present the analysis result
Coordinate with different parties to complete the analysis work
Requirements

Degree holder in, Computer Science or related disciplines
3-5 years’ working experience on Enterprise application development
With supervisory exposure in software development
Familiar with SQL, Spark, Spotfire, Python, R
Interest in data management, data analysis and business intelligence
Good interpersonal, presentation and communication skills
A good team player with sound analytical and problem solving skills, willing to take challenges
Good command of spoken and written English and Chinese
How to Apply

Interested parties please send your full resume in WORD format with your current and expected salary including HKN1609231816 in the subject to jobs@PEOBASE.com.

All information received will be kept in strict confidence. Only short-listed candidates will be notified.",5,5,DA
741,30+ days ago,Multiple Openings from Banks* Data & Information Analyst - Excel VBA SAS UNIX - 15-55k,Data Analyst,,Michael Page,244,3.4,https://www.indeed.hk//rc/clk?jk=fcd7d458e42b3515&fccid=77087bd1709a8148&vjs=3,Hong Kong,"Hong KongTemporaryFunction:IT
Specialisation:IT Data Analysis
Industry:Financial Services
Location:Hong Kong
Contract Type:Temporary
Salary: HK$15,000 - HK$55,000
Consultant name:Natalie Lau
Consultant phone:+852 3602 2400
Job Reference:4053274",,,DA
