ID,Time,Title,Category,Salary,Company,companyReviews,companyRating,Url,Location,Description,min_experience,max_experience,short_type
91,5 days ago,Business Analyst,Business Analyst,,Hutchison Travel Limited (hutchgo.com),,,https://www.indeed.hk//rc/clk?jk=0e0456655171f172&fccid=c604b374adac7e5f&vjs=3,Hong Kong,"Hong KongPermanentHutchison Travel Limited (formerly known as Hutchison-Priceline) is a wholly-owned subsidiary of CK Hutchison Holdings Limited, a leading Hong Kong-based multinational conglomerate. In 2002, it launched the first full service online travel agency in Hong Kong with operations in Asia. It was then developed into one of the most trustworthy and competence travel brands in the region.

With more than a decade of accumulated expertise, Hutchison Travel serves the travel markets in Hong Kong and across Asia by offering comprehensive travel services including air tickets, hotel rooms, car rental, air plus hotel packages, travel insurance and other travel related products.

Hutchison Travel comprises a premier online travel agency hutchgo.com and a full service business travel management division Hutchison Corporate Travel.

By gaining leverage from both the experience of the travel industry and the expertise of the e-commerce technologies, hutchgo.com (rebranded in June 2015) has been a top online travel agency in Hong Kong. It is committed to provide best-in-class service and assistance to travellers around the world.

Responsibilities:
Prepare reports on sales, website traffic and product performance (especially on Air product)

Manipulate database information to provide accurate data and actionable insights

Evaluate business performance and identify opportunities for growth

Perform analysis on online/mobile traffic through platforms like Google Analytics and Power BI

Perform competitive intelligence tasks and see through the executive of improvement actions through liaison with other business units

Handle ad-hoc projects and initiatives, including market research and eCommerce enhancement

Construct, maintain and troubleshoot on automated report and data structure (including on Power BI, Google Analytics and Tabis)

Requirements:
University graduate in disciplines related to statistics, such as business/economics/social sciences

Familiar with data enablement and integration (mainly on Google Analytic and Power BI)

Strong analytical skills and detail oriented

Motivated to analyze, discover and solve problems independently

Interested in eCommerce, online retail and travel industry

Experience in digital analytics and meta channels (such as Skyscanner) is preferred

Proficiency in SQL and MS Office, especially Excel

In addition, you will be able to:
Enjoy an attractive and competitive remuneration package

Receive excellent career development opportunities in a major business enterprise

Please send in your full resume and expected salary by clicking ""Apply Now"" button below.

To know more about us, please visit our website at http://www.hutchgo.com

We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and used only for consideration of application for relevant/similar post(s) within the CK Hutchison Group of Companies.

Applicants not having heard from us within four weeks from the date of this advertisement may consider their application unsuccessful. All personal data of unsuccessful applicants will be destroyed after the recruitment exercise when no longer required.

Full-time,Permanent",,,BA
92,30+ days ago,Business Analyst (Insurance),Business Analyst,,Classy Wheeler,,,https://www.indeed.hk//rc/clk?jk=7f305a4a27bc2710&fccid=7e57982cb894da40&vjs=3,"Kowloon Bay, Kowloon","Kowloon Bay, KowloonPermanentClient Description
US-based IT service vendor / Client: Insurance
Job DescriptionBachelor's Degree along with 6 - 8 years of working experience in Business AnalysisLife Insurance Domain knowledge primarily in the area of New Business followed by Underwriting and Policy AdminLife Insurance Product knowledge with exposure to product configurationWork experience in Agile delivery model and participation in Scrum CeremoniesHands-on experience pertaining to requirement definitions, documenting user stories, data dictionariesUnderstand UI/UX screen designs for user story documentationStrong communication and interpersonal skillsDetail oriented, analytical and inquisitiveFluency in spoken and written English and Cantonese",8,8,BA
93,3 days ago,Business Analyst,Business Analyst,,Alpha Talent Ltd,,,https://www.indeed.hk//rc/clk?jk=539a64c25c0d704b&fccid=eeaf4b86b510e717&vjs=3,Hong Kong,"Hong KongResponsibilities:
Conduct User requirement, analysis and system design
Liaise with system programmers in system design, development and updating
Vendor monitoring and link with system team
Communicate with users and ensure product on board schedule, UAT on process.
Relevant schedule reporting and data submit
Requirements:
Bachelor degree in Computer Science or related major
Experience of I - Banking projects, vendor working experience is an advantage
Self-motivated, good presentation and communication skills with each parties
Good command in English, Mandarin and native Cantonese

Interested parties please send your detail resume in MS WORD format with current and expected salary to cv6@alptalent.com
All data collected will be used for recruitment purpose only & will be used strictly confidential
Only shortlisted candidates will be notified
Summary
Industry:
Employment Agency
Job Category / Function:
IT (Product Management / Business Analyst)
IT (Software / Web Developer)
Job Position Level:
Middle
Employment Term:
Permanent
Min. Edu. Level Req:
-
Total Working Exp:
-
Salary(HKD):
-
Benefits:
-",,,BA
94,30+ days ago,Assistant Business Analyst (Contract),Business Analyst,,Hong Kong Housing Society,4,3.5,https://www.indeed.hk//rc/clk?jk=c6fef81bf1c2fc57&fccid=c80693056523f9ce&vjs=3,Hong Kong,"Hong KongThe Job
Act as super user of the financial systems and business intelligence analytical tools to provide day-to-day support to business units.
Work closely with business units and IT department to enhance the existing systems to support the implementation of new business initiatives.
Assist the development, production and ongoing maintenance of operational analysis reports to support the review and enforcement of financial controls.
Support the maintenance of vendor databases in the financial systems and ensure data integrity and validity.
Perform other ad hoc assignments.
The Person
Degree in Accounting, Finance, Computer Science, Information Systems or relevant disciplines.
Minimum 3 years’ relevant experiences, including at least 1 years of exposure in financial / accounting systems or other business intelligence analytic tools.
Proficiency in spoken and written English and Chinese.
Proficiency in MS Excel, Macro and MS Access/VBA is a MUST.
Proven track records in interacting with IT department and business users.
Work experience with Tableau or Microsoft Power BI is an advantage.
Excellent command of spoken and written English and Chinese.
Strong interpersonal skills and problem solving and analytical skills.
Application Procedure
To apply, please send full resume through the followings:
Online Application
(Online application will be expired on 02-Aug-2019 at 16:30.)
or mail to:
Human Resources Manager, Hong Kong Housing Society,
29/F, World Trade Centre, 280 Gloucester Road, HK.
(please mark ""Confidential"" and quote the reference no. on both the letter and the envelope.)
or by fax: (852) 2882 4466 (the fax number is for job applications only)
Applicants not invited for interview within 8 weeks may consider their applications unsuccessful.

Personal data provided by job applicants will be used strictly in accordance with the Housing Society's personal data policies which is available in our website and obtainable upon request. Applicants may be considered for other suitable positions within the Housing Society and all personal data of unsuccessful candidates will be destroyed within 6 months upon completion of the relevant recruitment exercises.
Remarks:
For compatibility, application letters and resumes via online application should be in MS Word format or PDF format.",1,3,BA
95,23 hours ago,Fusion Finance Business Analyst - Global Finance,Business Analyst,,HSBC,,4,https://www.indeed.hk//rc/clk?jk=e2a34b72f52c10af&fccid=04c9b139c84ea1b5&vjs=3,"Kowloon City, Kowloon","Kowloon City, KowloonSome careers shine brighter than others
If you’re looking for a career that will help you stand out, join HSBC and fulfil your potential.
Global Finance is integral to HSBC’s purpose and strategy, playing a valued role in managing costs and deploying capital in the most effective way. Our global team of finance professionals partner with the business to provide trusted insights and forward looking analysis; accuracy; efficiency and control to frame and influence business decisions.
We are currently seeking a high caliber professional to join our team as Fusion Finance Business Analyst .
Principal responsibilities
Understand future business need, and analyse requirements to ensure that they meet business needs
Provide detailed analysis and requirements documentation and process maps for the business to review
Creation and maintenance of Business Requirements documents and associated process maps
Definition of future state business requirements with full traceability to underlying Operating Model
To support the Programme with other analysis as required in order to meet the objectives of delivering good quality, high standard, business requirements
Engagement with key stakeholders to playback analysis output
Planning of workshops or meetings with subject matter experts to discuss requirements as needed
Creation of end to end process maps supporting requirements
Other supporting activities within the programme as required.
Qualifications
Requirements
Strong knowledge on Oracle Cloud or Fusion certification
Strong business requirements and functional analysis Data Analysis skills
Strong analytical and business requirement gathering skills
An excellent communicator with strong presentation skills
The ability to work with a diverse and geographically dispersed business teams
Flexible worker who demonstrates adaptability
Ability to run workshops and run presentations
Experience analysing and documenting business processes
Business Analysis skills gained in Banking environment
Understanding of the full project life cycle
Working experience of project methodologies such as agile
Able to work under tight deadlines
You’ll achieve more when you join HSBC.
HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.",,,BA
96,30+ days ago,Business Analyst Manager,Business Analyst,,Sa Sa 莎莎化粧品有限公司,11,2.5,https://www.indeed.hk//rc/clk?jk=659b32bd6015cba8&fccid=74cf27b580e9392e&vjs=3,Hong Kong,"Hong KongLead the Business Analyst team to thoroughly understand and gather the business needs and operational requirements from internal stakeholders for new and / or enhanced services
Prepare Business Requirement Specification Document and advise business solutions with the consideration of technical capability, budget and timeline
Work independently with users to define concepts under the direction of project managers as required
Ensure smooth interface among systems and develop proof of concepts of solutions
Maintain proper documentation and provide guidance to the team when necessary",,,BA
97,30+ days ago,Fintech Business Analyst Intern,Business Analyst,,Prive Technologies,,,https://www.indeed.hk//rc/clk?jk=f48a8b2a27ea7951&fccid=b401fe66874e89d4&vjs=3,Hong Kong,"Hong KongInternshipAre you interested in working in one of the fastest growing Financial Service companies based in Hong Kong? Prive Technologies is looking for Fintech Business Analyst Interns to join their team.

Perks

Work with a provider of cutting edge Wealth Management and Investment Solutions
Experienced team with over 50 years of experience in the investment banking industry
Award-winning Privé Managers platform
Your Role

This individual identifies, researches, analyzes and writes business requirements to ensure client and market needs are met. This includes working closely with clients and internal departments to clearly understand and address business problems and issues. Responsible for delivery of project to the client and/or internal organizations. This includes completion of process generation, user documentation, and blended learning plans. Ensures business and system development methodologies are followed and continuously improved.
Critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs. Proactively communicate and collaborate with external and internal customers to analyze information needs and functional requirements and deliver artifacts as needed. Translates high-level, complex business needs into functional and non-functional requirements and manages changes to such requirements. Gathers information about the organization's work processes and information flows. Performs additional job duties as required.
Perform analysis of data and work with multiple Fintech Distribution Systems to drive upgrades.
Work in an aggressive timeline and drive the business to completion.
Careful track exceptions and build processes to accommodate and prepare the line of business with processes and documentation to manage the change long term.
Duration: 6-10 weeks

Requirements",0,0,BA
98,2 days ago,Controls Business Analyst - up to 50k,Business Analyst,,Protiviti,,,https://www.indeed.hk//pagead/clk?mo=r&ad=-6NYlbfkN0AZFCIYgXz9F0vUuuiOjdItcXLhlyVT5HIq4e8UjZC7f7fJFpAGDg2avqUJbO8nFZ8vdHSFfIkstAttpKjRX5vcIdYMcUO4dJXcBop5NY5fTMO1OOPLxFHqLuHIH94MLi2EzP2_BebBaWlQyXj6A4gBOOCcOVnadN80Ie7Wr1tpFqXLdmsKqTZ2UtEvZWlAJiJdnVDwnglV1ns460fmWKWwml75zAqWEwXIFQeO1rYeJYg-Hx1gwRyL_Q7yL64uh4WhjQCwXYXySt--ToQVH2p4l3dzPLZDRzSjKsJ4-BcEfdRRyvim9lqqw-Cej6FOLscT1Sze-cw5TY83QpDyF1B_oOzXSKpDuVBJqi9YZW0ywab74wFr2540r6yR3RQqOT_IZVyK0j_vryDigZw9cK7M-UMwLFX5hzM-0B-C1_dSdPf6wYcRRe-0dT3eVQp39Uvma_z-tl7XVaZhA1mXIcI5M-0SfRNjk4ni5tLz1YBzfxKxQB4et8doWkV3A1ZbEarVVw3DVFZWSXKAmTMOsHHddOvOT0oO2yOTbsr9YuQVT3yh7tjZi7G-OAwp48CqmFNZqAvKpwiTJVBl4VXi0uE0zIC7YLw5eEhQ5Paf-q78dSD6YXCd1rBDj78XEqXQJEGzWoHTMLNyC4TU7MohNA0uoH8QqFP0HTA_Jcmh8BvWnXKYM-Q7sPWED1AAfl0DE7n-eZxylabxIQ==&p=1&fvj=0&vjs=3,"Central, Hong Kong Island","Central, Hong Kong IslandProtiviti are looking for skilled candidates for the following role:

The Role

Documenting controls at a country level, including gap assessment of existing and planned controls.

Documenting transition controls that cover controls specific and additional for the transition process.

Supporting documentation of control data flows and mapping of critical data elements (CDEs) to controls.

Documentation and quality assurance of SOX standard procedures

Collate control test evidence for internal assurance

Working closely with assurance teams to raise and manage to closure open control deficiencies

Working closely with E2E Design work stream to ensure control design aligns with process design and ownership.

Reconcile various functions and entities control library/delivery plan against the control framework to ensure completeness

Assessing mitigation of country level operational risk by controls planned for implementation


Your Profile

A University degree preferably in Business, Finance, IT or other related disciplines

Minimum 2 years of experience as a business analyst within financial services

Good understanding of operational and technical needs of the insurance business

Strong BA skills a must (user requirement, process analysis and documentation, defining of the solution, UAT testing, etc.)

Employee benefits experience is an advantage

English fluency is a must. Cantonese preferred.

Immediately available highly preferred, and will be considered first",2,2,BA
99,30+ days ago,Business Analyst,Business Analyst,,AXA General Insurance,,3.8,https://www.indeed.hk//rc/clk?jk=bc73fa191eb291ea&fccid=753062d67d31c43a&vjs=3,Hong Kong,"Hong KongBusiness Analyst (190007LE)
PRIMARY LOCATION : HONG KONG
ORGANIZATION : AXA Hong Kong Life and General Insurance
CONTRACT TYPE : Regular
SHIFT : Day Job
SCHEDULE : Full-time

DESCRIPTION

By translating the data requests objectives and working with relevant team members, retrieve and consolidate the required data and compile them into meaningful information
Develop automation tools using Microsoft Office tools
Prepare and automate management information reports
Conduct regular analysis and reporting of census, loss ratio, claims cost, panel usage, benefits, top diagnosis/ claimants
Structure and consolidate data of the department in order to setup a full-rounded database for further analysis needs
Assist in ad-hoc projects as assigned

QUALIFICATIONS

Degree holder in Mathematics, Computer Science, Statistics or related disciplines
Minimum 3 years of working experience, with a preference for at least 1 year of experience in the Insurance industry
Strong organizational and analytical skills
Proficient with MS Excel, MS Access
Proficiency in VBA or SAS and Tableau is an advantage
Good communication skill in both written and spoken in English and Chinese

ABOUT AXA

Would you like to wake up every day driven and inspired by our noble mission and to work together as one global team to empower people to live a better life? Here at AXA we strive to lead the transformation of our industry. We are looking for talented individuals who come from varied backgrounds, think differently and want to be part of this exciting transformation by challenging the status quo so we can push AXA - a leading global brand and one of the most innovative companies in our industry - onto even greater things.


In a fast-evolving world and with a presence in 64 countries, our 166,000 employees and exclusive distributors anticipate change to offer services and solutions tailored to the current and future needs of our 103 million customers.


AXA Hong Kong, a member of the AXA Group, prides itself of serving over 1 million customers in Hong Kong and Macau. Besides being one of the largest health protection providers in Hong Kong, it is also the number 1 General Insurance provider1 and a market leader in motor insurance.

AXA Hong Kong is committed to helping its customers achieve stability and prosperity through providing a comprehensive range of life, health, property and casualty protection, as well as wealth management and retirement solutions.
We believe it is our inherent responsibility to support the communities we operate in, hence creating a sustainable business via constant and considerable contribution in the dimensions of health, environment and the community.

AXA is an equal opportunity employer. We are committed to promote Diversity and Inclusion (D&I) by creating a work environment where all employees are treated with dignity, respect, and where individual differences are valued. We welcome and treasure diverse profiles to join our big family, and to build an inclusive culture together which allows everyone to maximize their personal potential.

1Based on 2013 Office of the Commissioner of Insurance market share statistics

WHAT WE OFFER

We offer excellent career prospects and attractive remuneration package to the right candidates.",1,3,BA
100,1 day ago,BUSINESS ANALYST (1– Year Contract) GLOBAL INFORMATION TECHNOLOGY,Business Analyst,,Marsh (Hong Kong) Limited,,,https://www.indeed.hk//rc/clk?jk=7513baae32a77731&fccid=d9010a17281bbd6a&vjs=3,Hong Kong,"Hong KongContractMarsh is a global leader in insurance broking and risk management. We help clients succeed by defining, designing, and delivering innovative industry-specific solutions that help them effectively manage risk. We have approximately 35,000 colleagues working together to serve clients in more than 130 countries. Marsh is a wholly owned subsidiary of Marsh McLennan Companies (NYSE: MMC), a global professional services firm offering clients advice and solutions in the areas of risk, strategy, and human capital. With more than 75,000 employees worldwide and approximately $15 billion in annual revenue, Marsh McLennan Companies is also the parent company of Guy Carpenter, a global leader in providing risk and reinsurance intermediary services; Mercer, a global leader in talent, health, retirement, and investment consulting; and Oliver Wyman, a global leader in management consulting. Follow Marsh on Twitter -MarshGlobal.

Responsibilities:
Understand business needs, facilitate business requirements and document business requirements into Business Requirements Document (BRD)

Develop current and future state process diagrams

Develop prototypes to facilitate/validate business requirements and document use-cases, and

functional specification required to support business requirements for application development

Participate in QA testing and facilitate UAT including development of UAT test scenarios and

test scripts

Develop, deliver, and evaluate training materials

Requirements:
Degree in Computer Studies, or related disciplines

Minimum 5 years work experience in Information Technology, preferably in insurance sectors

Strong Business Process Analysis and documentation skills

Can effectively participate/lead requirements gathering and review sessions comprised of both

IT and business representatives

Ability to articulate Business Requirements to both onshore and offshore development teams

Strong (clear and concise) communication skills

Basic knowledge in query language skills (SQL) with Oracle 10g or above

Good comment of written and spoken English, Chinese and Mandarin

Business and technical knowledge of the Insurance business is advantageous

Occasional travel might be required

Attractive remuneration and incentives will be offered to the right candidate.

Job applications should be sent in confidence with details in education, working history and salary expectation to the Human Resources Manager via email [email redacted, apply via company website]

We are an Equal Opportunity Employer. Visit us at www.marsh-asia.com

All information received will be kept in strict confidence and be used only for employment-related
purposes.

Full-time,Contract",5,5,BA
101,21 hours ago,IT Business Analyst,Business Analyst,,TECH ONE SERVICES LIMITED,,,https://www.indeed.hk//rc/clk?jk=21add30200061347&fccid=442902ee207077d9&vjs=3,"Hung Hom, Kowloon","Hung Hom, KowloonThe appointee will be required to work in a team responsible for customer services for systems infrastructure services with the following duties:

Act as the primary contact with the department users for cloud service provisioning and on-going support, as well as cloud service related projects.
Manage and coordinate with various stakeholders to schedule the system upgrade /patching activities
Prepare the rundowns, send notifications, arrange the necessary resources, monitor the progress and prepare the report for system upgrade / patching activities;
Prepare and keep updating the user documents including but not limited to service user guide, training materials, web page content, service level agreement, and service reports;
Maintain various record e.g. meeting minutes, inventory, capacity plan, services and project documents;
Consolidate platform utilization statistics and prepare monthly reports;
Organise user feedback activities to support service innovation process;
Perform any other duties as assigned by Seniors of IT

Requirements:
Degree or diploma in Business Administration, Computing Science, Information Technology or related discipline
Previous working experience in project administration or working in IT department will be an advantage
No working experience can also be considered
Good command of both spoken and written English and Chinese, including fluency in Putonghua;
Good communication and coordination skills;
Proficiency in common computer software, including MS Word, MS Excel, MS PowerPoint, MS Outlook
Ability to work independently and proactively with minimal supervision

Interested parties, please send your detail resume and expected salary to talent@techone.com.hk or by WhatsApp to https://wa.me/85263605600

All information gathered will be treated in strict confidence and used for recruitment related purposed only.
Summary
Industry:
Information Technology
Job Category / Function:
IT (IT Project Management / Team Lead)
IT (IT Management)
Administration / Secretary (Clerical / Admin Staff)
Engineering (Others)
IT (Application - Software)
Job Position Level:
General
Employment Term:
Full Time
Min. Edu. Level Req:
Bachelor
Total Working Exp:
0 - 2
Salary(HKD):
-
Location:
Eastern District / Quarry Bay Kowloon City District / Hung Hom

Shatin District / Shatin

Benefits:
Five-Day Work Medical Insurance",,,BA
102,30+ days ago,Business Analyst Fortress,Business Analyst,,A.S. Watson Group,47,3.4,https://www.indeed.hk//rc/clk?jk=6e87b077ee6e94d1&fccid=1f593f8528f0c819&vjs=3,"Fo Tan, New Territories","Fo Tan, New TerritoriesContract, PermanentSummary:

This is a position which is suitable for those who are keen to join retail industry and with great interest in business performance analysis on group level. Reporting to the Manager, this individual closely works with the team to supports and provides recommendation on group’s strategic review and identifies potential
business opportunities. We also welcome Big4 candidates who would like to pursue their expertise in investment analysis.

Responsibilities:

Develop, analyze, and interpret statistical and accounting information and results of operations to senior management.
Assist in reviewing the investment proposals and prepare case summary for new market entry or new store development.
Support annual budgets, quarterly forecast process with necessary supporting documentation and justification.
Support in power point slides preparation for management review.

Qualifications:
Bachelor's degree in Accounting or Finance or related discipline
Minimum of 3 years of relevant experience in financial modelling, investment and business performance analysis
OR candidate with 3 years’ work experience from Big 4 with professional accounting qualification
Holder of CFA level 1 or above is definitely an advantage
Ability to work and interface well with various organizations and personnel at all levels
Proficiency in Pivot Table, V-Look Up and PowerPoint Presentation
Excellent Analytical and Presentation Skills
Excellent command of spoken and written in English and Cantonese",3,3,BA
103,23 hours ago,Business Analyst within Top Financial Trading firm,Business Analyst,,Chandler Macleod,100,3.7,https://www.indeed.hk//rc/clk?jk=0b2ff8110ad8a3b2&fccid=2cc803336f95091d&vjs=3,Hong Kong,"Hong KongExposure in digital transformation project
In house stable environment
Career path with good benefits
Business Analyst within top financial trading firm

Exciting career opportunity for a Business Analyst within a top forex trading firm in Hong Kong. If you have business analytics experience looking for digital transformation project exposure, could be perfect for you.

What you need to do:

Collects and document business requirement, analyses and develops software solutions according to software development lifecycle
Determines operational feasibility by evaluating analysis, problem definition, solution development, and propose solutions
Communicate with vendor for system implementation and enhancements
Liaise with development team to enhance both new and existing systems
Examine, review and refine software quality for deployment
Perform SIT, UAT and Production rollout and support


What it takes:

Bachelor degree major in Computer Science or equivalent
At least 2-3 years IT business analysis working experience
Strong in collecting user requirement and transform to prototypes for development
Nice to have managed vendor and offshore development center
Excellent communication skills in English and Cantonese, Mandarin is a plus


Interested? Apply now!

Are you our new Business Analyst? Apply now!
Interested parties please click ""Apply Now"" or contact Emma Leung on +852 2833 4126 for more information.",3,3,BA
104,23 days ago,Business Analyst,Business Analyst,,Orbis Hong Kong,,,https://www.indeed.hk//rc/clk?jk=8a066635b5999ce6&fccid=94e5e6e040ca8eda&vjs=3,Hong Kong,"Hong KongJOB RESPONSIBILITIES:

Develop and implement analytical methods across different channels
Use data, both from donor database system and external sources, to understand new ways of findings, impactful insights from limited data sets and develop recommendations
Analyze the structure of a business and performance, identify problems and opportunities within a business and formulate ways for business to improve
Report on financial information, donors and supporters’ patterns and any other demographic and fundraising and analysis points
Identify giving trends and provide management reports with data driven recommendations and business insights
Maintain clear communication and ensure best practices sharing with internal stakeholders and management
Provide support to fundraising projects & programming as required.
QUALIFICATIONS & EXPERIENCE:

Degree holder in Business Information Systems, Statistics, Mathematics, Computer Science, or related disciplines
5 years work experience in database management
Must have proficiency with SQL , Microsoft Excel and Business Intelligence Software
Data analytic mindset with strong planning, organizing and business sense
Self-motivated, proactive and with ability to work with tight schedule
Good team player with strong interpersonal and communication skills
Flexible and willing to learn new technologies
Proficiency in Microsoft Office Application
Good command of Chinese and English, both spoken and written. Mandarin capability an advantage
Experience in programming using Java, Python, R, C/C++ and good understanding of machine learning is an advantage.
KNOWLEDGE & SKILLS:

Data analytic mindset with strong planning, organizing and business sense
Self-motivated, proactive and with ability to work with tight schedule
Good team player with strong interpersonal and communication skills
Flexible and willing to learn new technologies
Proficiency in Microsoft Office Application
Good command of Chinese and English, both spoken and written. Mandarin capability an advantage
APPLICATION METHODS

If you are interested in applying for this position, please click HERE. Please include your resume and letter of interest, quoting job reference number (HKBA-O0719) and stating your availability, current and expected salary in your application.

For more information about Orbis and our mission, please visit our website: www.orbis.org.

(All data collected will be kept confidential and used for recruitment purpose only.)",5,5,BA
105,15 hours ago,"Business Analyst, Cash Equities, Investment Bank Hong Kong",Business Analyst,,Ikas International,,,https://www.indeed.hk//rc/clk?jk=e0773280f7b06380&fccid=bb669b17e7060026&vjs=3,Hong Kong,"Hong KongPermanentA well-established Investment Bank is seeking for a Business Analyst with cash equities experience to support their front office project team to develop and implement solution for trading on global equity market.

Responsibilities:

Discuss with front office, middle office and research business users for their requirements and transform them into documentation like business requirement documentation and user acceptance plan
Analyse the business requirements and purposes high level solution for the implementation
Work and coordinate with development team on the design and implementation, and help clarify the business requirements with the business users
Ensuring risks and issues in process are identified, reported and escalated to project manger
Track, monitor and report business performance and perform business analysis to identify trends, gap and opportunities
Assist testing team for test cases preparation and performs review and validation
Report project status and situation to project manager in regular basis, and to facilitate better decision making by project manager and senior management
The ideal candidate will have:
Degree in Computer Science, Information Technology is a MUST
Minimum 5 years' experience and solid knowledge on cash equity front office trading system, experience in Fidessa is highly regarded
Strong background in Investment Banking or Securities Trading industry
Excellent knowledge of equity business and flow, especially in HK and China markets
Strong communication skills in English and Chinese (Cantonese)
Should this opportunity be of interest, please send across your most updated resume to NMa@ikasinternational.com, or simply apply now via the apply button
iKas International (Asia) Limited is providing recruitment services for this role.
Recruitment Licence Number: 56984

By clicking 'APPLY NOW', you confirm that you understand that any personal data you submit through your application will be used to provide you with our recruitment services. For further detail on how iKas International (Asia) Limited process your data, please read the iKas Privacy Statement.
JN -042019-22676_156413063472394",5,5,BA
106,30+ days ago,Business Analyst (1 year contract),Business Analyst,,Analogue Holdings Limited,,,https://www.indeed.hk//rc/clk?jk=26851dad4da5f97f&fccid=3fb575cc9133ccaf&vjs=3,"North Point, Hong Kong Island","North Point, Hong Kong IslandResponsibilities:

The successful candidate will report to the Project Manager and work with project team to:
Gather system requirements from users and business owners, translating them into detailed requirements documentation and technical specification, ensuring that business rules are clearly defined through workflow diagrams, business needs are documented and limitations or risks are understood
Assist in the creation, implementation and maintenance of a standardized requirements document
To facilitate all the activities happened in the region and resolve issues for the particular module
Facilitate the process owner to perform the decision making
Perform application IAT & UAT, system set up, user training
Support Functional Module in the technical aspect during implementation and go-live
Ensure proper knowledge transfer for post go-live support and configuration
Primary contact with the vendor's functional consultants
Arrange meeting and Training session


Requirements:
Strong background in business analysis and/or business process analysis, including experience in business process modelling and knowledge of business process
Experience in project management and solid ERP Dynamics AX experience of large scale ERP implementations is an advantage
3+ years of experience, working in the Engineering and Mechanical industry is an advantage
Bachelor’s degree or above in computer science or Information Systems or related discipline; PMP Certification
Strong organizational skill, team player, partnering with senior/executive management and individual contributors; good team leading and mentoring skill
Excellent interpersonal communications and presentation skills along with meeting leadership
Strong sense of responsibility with good analytical skill, self-motivated and good problem solving skills
Immediately available is preferred
Application Procedure
We offer a good environment to grow your career. If our requirements meet your career inspiration, please apply with full resume stating relevant job reference, present and expected salary and availability to:

Mail: The Human Resources Department,
13/F, Island Place Tower,
No. 510 King's Road, North Point,
Hong Kong
Fax: 2911 4208
E-mail:career@atal.com
(Please quote reference number on your application letter)",,,BA
107,30+ days ago,Dynamics AX Business Analyst with Financials,Business Analyst,,Ignify,,,https://www.indeed.hk//rc/clk?jk=df657108802f87fc&fccid=976c460aac065f5d&vjs=3,Hong Kong,"Hong KongLocation: Hong Kong
Ignify is seeking a Dynamics AX business analyst with Financials experience for our Hong Kong office. Ignify is a global firm and winner of the Worldwide Microsoft Partner of the Year award.
Job Description

Your responsibility would involve functional analysis, gap fit with Dynamics AX, determining modification requests to Dynamics AX and writing specifications or their development. It is expected that the functional analyst with possess deep knowledge of one or more Dynamics AX modules and has significant GL, AP, AR and Bank Management experience.
Job Description & Responsibilities:

Work as Lead Business Analyst on the assigned engagement.
Present Conference Room Pilot showing Dynamics AX fit to the customers organization
Advise customer organization on Dynamics AX usage and help minimize gaps between standard AX customer’s business processes with creative configuration.
Prepare Business Process Discovery Documents.
Prepare functional specification for customizations required for Dynamics AX implementations.
Prepare User Manuals and Training Plans
Provide pre go live and post go live end user support.
Ensures project documents are complete and project is delivered successfully as per the plan.
Qualifications & Experience:

Degree in Business or Information Technology desired.
2-3 years of experience working with Dynamics AX; AX Certifications required.
At least two years of experience with Dynamics AX Financials is required with experience doing hands-on Configuration of Dynamics AX GL, Bank Management, Accounts Payable, Accounts Receivable, Expense Management functionality.
Ability to understand, communicate, interpret client business processes and requirements.
Exposure to Dynamics AX Trade and Logistics, Retail POS, Projects and HR would be a plus but not required
4+ years of experience in IT industry with any mid-market or Enterprise ERP
Excellent verbal and written communications skills.
Ability/Experience to establish priorities, work independently, and proceed with objectives without supervision.
Experience and/or ability to document business processes.
How to apply:
Email philhire@ignify.com with Job Code: ‘AX-BA-FIN-HK’ in the subject of the email, a resume in Microsoft word and a cover letter in the body of the email stating your interest and qualifications.",3,3,BA
